name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kopyor,"100,1",0,0,0,"99,9",0,0,0,27,"0,33",2,0,8,"42,758","0,11","0,04","0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jus Alpukat,"8,75",365,"2,17",0,0,"89,08",0,"80,7",0,"0,04",0,0,4,0,"0,01",0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalgona Milo,"287,73",449,"3,21","3,31","0,89","104,86",0,"104,68",122,"0,08",12,85,137,114,"0,41","0,052","0,008","4,3",0,"0,047","0,191","0,09","0,38","0,036",5,15,"0,46",165,47,46,0,7,0,0,0,"0,07","1,3",52,"0,3","1,899","0,827","0,198",11
Es Boba Brown Sugar,"387,61",62,"3,21","3,31","0,98","4,88",0,"4,88",124,"0,03",13,85,135,117,"0,41","0,055","0,004","3,7",0,"0,047","0,172","0,09","0,38","0,036",5,15,"0,46",165,47,46,0,7,0,0,0,"0,07","1,3",52,"0,3","1,899","0,827","0,198",11
