name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Salad Sayur,"485,21",2353,"20,41","182,22","108,08","198,84","30,7","88,07",736,"14,96",245,432,"1180,329","578,758","3,42","1,916","14,992","22,7","252,1","0,459","0,515","3,4","2,744","1,899",145,"56,3",0,"881,312",209,0,20,"497,987",43,20,"487,223","27,69",0,0,"360,4","26,154","91,755","57,452",0
Kangkung Belacan,"413,06",1909,"24,46","109,85","15,88","236,78","35,5","94,87",1175,"48,82",264,430,1956,"176,733","5,8","1,102","10,531","24,5","284,5","0,381","0,861","6,523","1,244","3,938",312,"49,2","0,41","977,485",672,0,36,542,40,0,733,"18,27",0,0,"87,8","9,258","74,496","18,668",0
