name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Sate Taichan,"610,45",1580,"71,67","24,24","262,86","320,05","60,7","132,07",1411,"25,81",508,990,"1965,658","264,391","5,42","3,376","28,022","77,8","118,6","0,802","1,21","16,218","6,545","3,265",173,269,"0,51","1312,496",146,9,32,719,68,40,948,"3,69",0,1,"338,3","6,951","7,609","7,345",86
Sate Kambing,"805,79",1231,"89,96","33,68","54,93","210,22","81,9","20,55",1512,"40,48",696,1413,"2194,596","295,38","14,77","3,282","17,933","87,3","172,9","0,947","1,323","19,764","4,71","2,922",181,247,"4,44","950,496",121,0,65,501,72,20,551,"2,64",0,0,"290,4","7,793","18,912","4,19",109
