name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Nagasari,"79,41",1753,"6,74","101,6",101,"211,26","4,7","113,92",37,"1,32",68,126,551,"44,758","1,04","0,233","1,304","17,2","10,9","0,184","0,092","3,346","1,052","0,676",30,"19,3",0,909,45,0,353,369,0,0,28,"16,18",0,0,"8,7","49,755","37,457","9,712",0
Bakpao,"725,3",3060,"81,75","94,77","213,32","486,63","13,7","20,74","2271,364","29,99",299,"1056,918",1827,"2057,97","7,1","1,289","4,187","83,9","35,4","2,137","1,772","28,002","2,962","2,357",426,223,"1,18","312,499",719,695,63,264,0,0,"56,355","3,31","0,1",6,"10,2","55,112","24,319","7,344",300
