name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Nasi Bebek,"401,76",3239,"80,37","198,92","132,61","386,36",102,"14,51",3020,"170,39",1417,1894,"2210,099","541,758","23,19","3,995","82,413","124,2","201,3","1,559","1,95","25,729","2,364","5,661",421,"131,3","0,25","754,455",452,50,0,791,0,0,472,"20,09","0,7",26,"22,2","71,735","85,937","25,153",76
Kebab,"1004,17",4202,"76,99","251,65","299,87","467,8","88,3","168,7","1213,876","102,62",653,"1398,191","2509,25","2166,019","18,04","3,5","31,559","103,1","117,5","1,819","1,922","21,574","4,887","3,109",439,"305,6","2,4","870,761",673,51,317,"395,814",415,"12,062","241,86","65,76","1,4",56,"417,5","42,161","166,428","32,373",100
Nasi Jinggo,"988,37",4554,"168,03","193,89","289,83","655,28","157,5","99,83",3088,"175,4",1614,3135,"6255,071","1054,391","32,33","7,441","84,974","199,9","544,3","1,664","3,128","34,818","6,648","9,104",662,434,"1,49","2662,185",485,53,72,1091,80,0,1612,"7,99","0,5",19,"49,1","110,973","41,794","23,064",204
Salmon Mentai,"496,03",2364,"48,45","189,44","32,39","135,1","17,8","42,62",1359,"23,03",654,1137,1667,"2099,903","11,68","4,596","3,585","67,9","15,2","1,103","1,078","16,575","2,776","2,055",492,"160,2","4,15","1072,773",212,35,306,"462,319",383,"12,062","162,136","9,59","10,9",435,"304,1","27,475","60,018","64,419",81
Nasi Bakar Ikan Cakalang,"639,44",3045,"48,43","203,9","210,12","293,01",13,"122,84",663,"25,52",276,926,3683,"199,516","9,55","1,636","15,23",70,"228,3","0,771","0,75","21,212","2,493","4,698",261,"79,4","1,9",1042,64,16,36,556,40,0,757,"8,55",0,0,"68,4","163,82","23,172","4,67",47
