No,Nama,URL Asli,Likes,Done,Worker,Explanation
64,Ayam Saus Lemon,https://resepkoki.id/resep/resep-ayam-saus-lemon/,1668,No,,
65,Bistik Lidah Sapi,https://resepkoki.id/resep/resep-bistik-lidah-sapi/,1691,No,,
66,Kebab,https://resepkoki.id/resep/resep-kebab/,1817,Yes,Ling,
67,Ayam Barbeque,https://resepkoki.id/resep/resep-ayam-barbeque/,1039,Yes,Ling,
68,Egg Chicken Roll,https://resepkoki.id/resep/resep-egg-chicken-roll/,1080,Yes,Christina,
69,Ayam Lodho,https://resepkoki.id/resep/resep-ayam-lodho/,1079,No,,
70,Itiak Lado Mudo (Bebek Cabe Ijo),https://resepkoki.id/resep/resep-itiak-lado-mudo/,1057,No,,
71,Tengkleng,https://resepkoki.id/resep/resep-tengkleng/,1129,No,,
72,Tim Telur Daging,https://resepkoki.id/resep/resep-tim-telur-daging/,1074,No,,
73,Sate Ponorogo,https://resepkoki.id/resep/resep-sate-ponorogo/,1084,No,,
74,Sate Klopo,https://resepkoki.id/resep/resep-sate-klopo/,1299,No,,
75,Sop Ceker,https://resepkoki.id/resep/resep-sop-ceker/,1345,No,,
76,Sempol Ikan Tenggiri,https://resepkoki.id/resep/resep-sempol-ikan-tenggiri/,1317,No,,
77,Ayam Kecap Goreng Mentega,https://resepkoki.id/resep/resep-ayam-kecap-goreng-mentega/,1214,No,,
78,Kari Kambing,https://resepkoki.id/resep/resep-kari-kambing/,1292,No,,
79,Mie Kangkung Ayam,https://resepkoki.id/resep/resep-mie-kangkung-ayam/,1193,No,,
80,Sambal Goreng Krecek,https://resepkoki.id/resep/resep-sambal-goreng-krecek/,1352,No,,
81,Gyoza,https://resepkoki.id/resep/resep-gyoza/,1355,Yes,Ling,
82,Ayam Gepuk,https://resepkoki.id/resep/resep-ayam-gepuk/,1316,Yes,Ling,
83,Sate Padang,https://resepkoki.id/resep/resep-sate-padang/,1318,Yes,Garda,
84,Tumis Daging Sapi Cabe Ijo,https://resepkoki.id/resep/resep-tumis-daging-sapi-cabe-ijo/,1328,No,,
85,Bebek Madura,https://resepkoki.id/resep/resep-bebek-madura/,1183,No,,
86,Pindang Daging Kudus,https://resepkoki.id/resep/resep-pindang-daging-kudus/,1143,No,,
87,Ayam Pelalah,https://resepkoki.id/resep/resep-ayam-pelalah/,1303,No,,
88,Ayam Jerit,https://resepkoki.id/resep/resep-ayam-jerit/,1321,No,,
89,Bebek Kaleyo,https://resepkoki.id/resep/resep-bebek-kaleyo/,1121,No,,
90,Tumis Buncis Daging Giling,https://resepkoki.id/resep/resep-tumis-buncis-daging-giling/,1165,No,,
