name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
Es Kelapa Muda,"234,33",394,"3,9","33,73","1,7","26,37","9,3","12,67",27,"2,54",44,126,624,47,"1,17","0,459","1,733","10,2","51,9","0,12","0,035","0,631","0,431","0,1",46,17,0,6,0,0,0,1,4,0,15,"0,39",0,0,"0,2","29,738","1,431","0,387",0
Es Buah,"445,1",583,"2,18","0,87","1,7","150,16","4,8","141,84",57,"1,05",49,39,712,34,"0,35","0,236","1,716","2,1","130,7","0,232","0,147","1,575","0,583","0,348",78,26,0,1158,58,0,3,398,589,"1,828",188,"0,53",0,0,"20,8","0,242","0,102","0,259",0
